ID,Writing,Format and organization,Language and bibliographic,Argumentation
ba27d188-fa92-470a-981d-41f047b7c062,4,4,4,4
2044f610-75f5-4615-a2b0-84da5f156ab1,4,5,4,4
4f42af4e-8bfb-4ddd-9c07-84dbcffac798,4,4,4,4
5724a694-2451-4428-a36d-47b550dfe3ed,4,4,4,4
2886faae-afbb-4ac8-b8c7-adf8239ddc61,3,2,3,3
d8f80cf1-c5cb-4b63-be33-f075b82d358b,4,4,4,3
dbbee9cf-04da-41f5-be24-a3b8e8fb6f4f,5,4,4,5
67df2487-6e1e-4881-b2ba-8fd18daf6a44,3,3,3,3
46f7d924-4269-4cc5-b07a-c5a5a12063d4,5,5,5,5
2729fa4a-8d2f-4039-96e7-3a95d0c68dce,5,5,4,5
696cc23e-665b-4a55-ac59-e441756f12b4,3,4,4,4
446f8d64-e008-4f8a-a7bc-33619591896c,4,3,4,3
169b9f0e-727b-48a0-9f71-41cf1d2a3ead,4,4,4,4
403df32e-0a1c-44a0-854b-87aea4b11d85,4,2,2,2
7fa19496-0eb0-4d55-9b6d-42be67df54c6,3,4,4,4
e8ddee86-fa0d-4f34-b9a9-5f9a45939852,4,3,4,3
3fb643f1-b206-479d-8c44-37c346f06cbd,4,4,3,3
aeb4bcaa-5c64-48f1-b845-89f86c3321b0,4,4,4,4
88bdab3f-7ae4-4a6b-892b-6f61b46875b2,5,2,4,4
03f5fff4-4304-4943-a609-dee6137922eb,5,5,5,5
2d8bd568-64c5-4654-be29-dbcdb40b2944,4,4,4,3
ca74e594-f2f2-47fe-a562-8210683d81d8,4,3,3,4
4e60b389-b3c8-4885-a5d9-5df7c4cf459f,5,3,4,4
74cb4290-c57c-44cf-91a3-2e32fd62e159,4,2,3,3
3437751c-90c5-42e8-8fcf-a40378bc7833,5,4,4,5
f581ca7e-22b0-41d7-b848-bdee7737324c,4,4,4,4
41a327bc-3e74-4628-a831-34c4f73b5beb,4,5,4,4
182dc192-8b09-46b9-9cb9-9ccb3e2af9a7,5,4,4,4
a20aae87-ab33-491d-b95c-22ae67717fec,3,3,3,2
c85d85a4-a701-4966-9400-62e7a72e6bcd,5,5,5,5
3cae289c-2366-4f79-80a6-7b4362ec8a64,5,4,5,5
f460f7ab-6ae2-4ad5-a593-74c22e32c575,3,3,3,2
56b1d6fc-c4f7-4722-bf70-ccf3bd4894df,5,5,5,5
615f5b7f-1382-4575-b040-a3c02ebf7e7c,4,3,3,2
a0b7abb8-da69-4c66-b72f-f9ab750a025e,3,3,3,2
